reading refs.json...
N=3000000
fresh init via std::sample (K=1700)
training k-means: K=1700 T=200 DIM=14 N=3000000 resume_from=0 eps=1e-06
  iter 171/200  took=9868ms  total=1686s  move=0.221615
  iter 172/200  took=9887ms  total=1696s  move=0.238731
  iter 173/200  took=9895ms  total=1706s  move=0.236799
  iter 174/200  took=9927ms  total=1716s  move=0.242384
  iter 175/200  took=10019ms  total=1726s  move=0.253292
  iter 176/200  took=9939ms  total=1736s  move=0.269468
  iter 177/200  took=9840ms  total=1746s  move=0.293131
  iter 178/200  took=9817ms  total=1756s  move=0.31747
  iter 179/200  took=9840ms  total=1765s  move=0.342868
  iter 180/200  took=9827ms  total=1775s  move=0.349614
  iter 181/200  took=9787ms  total=1785s  move=0.328772
  iter 182/200  took=9816ms  total=1795s  move=0.312155
  iter 183/200  took=9851ms  total=1805s  move=0.312731
  iter 184/200  took=9849ms  total=1814s  move=0.283647
  iter 185/200  took=9867ms  total=1824s  move=0.254933
  iter 186/200  took=9847ms  total=1834s  move=0.231164
  iter 187/200  took=9835ms  total=1844s  move=0.205497
  iter 188/200  took=9858ms  total=1854s  move=0.18644
  iter 189/200  took=9833ms  total=1864s  move=0.175343
  iter 190/200  took=9842ms  total=1874s  move=0.16491
  iter 191/200  took=9819ms  total=1883s  move=0.160998
  iter 192/200  took=9804ms  total=1893s  move=0.154381
  iter 193/200  took=9843ms  total=1903s  move=0.154152
  iter 194/200  took=9798ms  total=1913s  move=0.156433
  iter 195/200  took=9849ms  total=1923s  move=0.141557
  iter 196/200  took=9848ms  total=1933s  move=0.122892
  iter 197/200  took=9798ms  total=1942s  move=0.119812
  iter 198/200  took=9801ms  total=1952s  move=0.110528
  iter 199/200  took=9848ms  total=1962s  move=0.114073
  iter 200/200  took=9818ms  total=1972s  move=0.115309
done. checkpoint at centroids.f32.bin. run `build_ivf <references.json>` to produce ivf.bin.
